"","CellNumbers","CellLifetime","CellFate"
"1",1,56,1
"2",2,18.6666666666667,1
"3",3,25,1
"4",4,27.6666666666667,1
"5",5,24.3333333333333,1
"6",6,24,1
"7",7,27,1
"8",8,15.3333333333333,1
"9",9,38.6666666666667,1
"10",10,18.6666666666667,1
"11",11,25.3333333333333,1
"12",12,18,1
"13",13,12.6666666666667,1
"14",14,13.3333333333333,1
"15",15,10,1
"16",16,6.33333333333333,0
"17",17,5,0
"18",18,1.66666666666667,0
"19",19,1.66666666666667,0
"20",20,8,0
"21",21,6.66666666666667,0
"22",22,5,0
"23",23,3.33333333333333,0
"24",24,5.33333333333333,0
"25",25,7,0
"26",26,2.66666666666667,0
"27",27,2.66666666666667,0
"28",28,2.66666666666667,0
"29",29,4,0
"30",30,3,0
"31",31,5,0
